ID_Tarefa,Nome_Tarefa,Evento,Etapa,Tempo_Estimado_Dias
TSK-CAS-CIVI-001,"Agendamento, organização de documentos e acompanhamento do processo no Cartório de Registro Civil",Casamento Civil,Legalidades,15
TSK-CAS-CIVI-002,"Pesquisa e reserva de espaço para recepção pós-cartório (Lounge, terraço ou área privativa de restaurante)",Casamento Civil,Planejamento,5
TSK-CAS-CIVI-003,"Desenvolvimento de conceito de decoração leve e urbana (arranjos de impacto, sinalização elegante e lounge de fotos)",Casamento Civil,Planejamento,5
TSK-CAS-CIVI-004,"Contratação de serviço de buffet de Finger Foods refinados, coquetelaria autoral e espumantes",Casamento Civil,Produção,7
TSK-CAS-CIVI-005,"Coordenação do cronograma do dia do civil (Horário de chegada no cartório, assinaturas, fotos e deslocamento para recepção)",Casamento Civil,Cerimonial,2
TSK-FEI-CULT-001,"Mapeamento e seleção de editais públicos de incentivo à cultura (Lei Rouanet, Paulo Gustavo, Aldir Blanc, Leis Estaduais/Municipais)",Feira Cultural,Planejamento,30
TSK-FEI-CULT-002,"Elaboração do projeto cultural, planilha orçamentária detalhada e cronograma físico-financeiro para submissão",Feira Cultural,Planejamento,20
TSK-FEI-CULT-003,"Gestão de captação de recursos, relacionamento com patrocinadores corporativos e acompanhamento de contas vinculadas",Feira Cultural,Planejamento,45
TSK-FEI-CULT-004,"Curadoria, edital de seleção de expositores de economia criativa, artesãos, gastronomia e artistas regionais",Feira Cultural,Planejamento,15
TSK-FEI-CULT-005,Contratação de assessoria de prestação de contas especializada em leis de incentivo e auditoria independente,Feira Cultural,Planejamento,10
TSK-FEI-ENG-001,Estudo de Impacto de Vizinhança (EIV) e Estudo de Impacto de Trânsito (EIT) com órgãos de trânsito locais,Feira de Grande Porte,Legalidades,20
TSK-FEI-ENG-002,Elaboração de Projeto Técnico de Prevenção a Incêndio e Pânico (PTPIP) assinado por engenheiro habilitado,Feira de Grande Porte,Legalidades,25
TSK-FEI-ENG-003,Submissão do projeto ao Corpo de Bombeiros Militar para obtenção do Licenciamento/Alvará Temporário,Feira de Grande Porte,Legalidades,30
TSK-FEI-ENG-004,"Apresentação de Projeto de Acessibilidade (PCD) com rotas acessíveis, rampas, piso tátil e banheiros adaptados",Feira de Grande Porte,Legalidades,15
TSK-FEI-ENG-005,"Emissão de ART/RRT (Anotação de Responsabilidade Técnica) para Estruturas Metálicas, Tendas, Arquibancadas e Tablados",Feira de Grande Porte,Legalidades,10
TSK-FEI-ENG-006,"Emissão de ART/RRT para Instalações Elétricas Temporárias, Aterramento e Geradores de Energia",Feira de Grande Porte,Legalidades,10
TSK-FEI-ENG-007,"Emissão de ART para Montagem de Palcos, Pistas de Dança e Módulos de Estandes Construídos",Feira de Grande Porte,Legalidades,10
TSK-FEI-ENG-008,Solicitação de Alvará de Autorização Transitória na Prefeitura Municipal e Secretaria de Urbanismo,Feira de Grande Porte,Legalidades,20
TSK-FEI-ENG-009,"Licenciamento junto à Vigilância Sanitária (VISA) para manipulação de alimentos, bebidas e praça de alimentação",Feira de Grande Porte,Legalidades,15
TSK-FEI-ENG-010,Pagamento e regularização de taxas de execução musical pública junto ao ECAD,Feira de Grande Porte,Legalidades,7
TSK-FEI-ENG-011,"Solicitação de apoio logístico da Polícia Militar, Guarda Municipal e Agentes de Trânsito",Feira de Grande Porte,Legalidades,15
TSK-FEI-BIG-001,"Levantamento topográfico e demarcação da planta baixa no terreno (espaço para estandes, ruas de circulação e praça)",Feira de Grande Porte,Planejamento,10
TSK-FEI-BIG-002,Contratação e montagem de Tendas de Grande Porte (Galpões estruturados de alumínio/tendas tensionadas) e Tablados nivelados,Feira de Grande Porte,Montagem,7
TSK-FEI-BIG-003,"Construção de piso elevado, passarelas de compensado naval e rampas de acesso para terrenos irregulares",Feira de Grande Porte,Montagem,5
TSK-FEI-BIG-004,"Montagem da infraestrutura de Estandes (octanorm, divisórias, testeiras, iluminação individual e tomadas)",Feira de Grande Porte,Montagem,4
TSK-FEI-BIG-005,"Dimensionamento de Carga Elétrica Total, instalação de quadros de distribuição, subestações e cabeamento blindado",Feira de Grande Porte,Montagem,5
TSK-FEI-BIG-006,Instalação de Grupo Gerador de Energia Principal e Gerador de Backup (Start Automático / Rampado),Feira de Grande Porte,Montagem,3
TSK-FEI-BIG-007,Implantação de rede temporária de água potável e rede de esgotamento/pias hidráulicas para a praça de alimentação,Feira de Grande Porte,Montagem,4
TSK-FEI-BIG-008,"Dimensionamento e locação de Banheiros Químicos (Standard, Luxo e PCD) e Módulos Sanitários Hidráulicos Container",Feira de Grande Porte,Montagem,3
TSK-FEI-BIG-009,"Demarcação e sinalização fotoluminescente de Rotas de Fuga, Saídas de Emergência, Extintores e Iluminação de Balizamento",Feira de Grande Porte,Montagem,3
TSK-FEI-BIG-010,"Instalação de fechamentos perimetrais (gradis, tapumes, FEG e portões de emergência antipânico)",Feira de Grande Porte,Montagem,4
TSK-FEI-BIG-011,"Montagem de pórticos de entrada, bilheterias, catracas eletrônicas e leitores de QR Code/credenciamento",Feira de Grande Porte,Montagem,3
TSK-FEI-BIG-012,"Montagem de Palco Principal, cobertura de show, camarins climatizados e Rider de Áudio/Luz de grande porte",Feira de Grande Porte,Montagem,4
TSK-FEI-BIG-013,Instalação de Iluminação de Área Externa (Torres de Iluminação a diesel e projetores de LED perimetrais),Feira de Grande Porte,Montagem,2
TSK-FEI-BIG-014,"Contratação de Posto Médico Temporário, equipe de médicos/enfermeiros e UTI Móvel de Prontidão (com suporte avançado)",Feira de Grande Porte,Operação,10
TSK-FEI-BIG-015,Dimensionamento e contratação de Brigada de Incêndio credenciada e equipe privada de Segurança Patrimonial,Feira de Grande Porte,Operação,10
TSK-FEI-BIG-016,Acompanhamento da Vistoria Final do Corpo de Bombeiros e órgãos públicos para emissão do Habite-se/Atestado de Vistoria (AVCB),Feira de Grande Porte,Legalidades,1
TSK-FEI-BIG-017,"Gestão de Fluxo de Pessoas: controle de lotação em tempo real, direcionamento de filas e atendimento PCD",Feira de Grande Porte,Execução,3
TSK-FEI-BIG-018,"Gestão de Resíduos Sólidos: posicionamento de pontos de coleta seletiva, varrição contínua e transporte de caçambas",Feira de Grande Porte,Operação,3
TSK-FEI-BIG-019,"Manutenção contínua de sanitários: higienização, reposição de insumos (papel/sabão) e esgotamento de fossas por caminhão limpa-fossa",Feira de Grande Porte,Operação,3
TSK-FEI-BIG-020,Supervisão de carga e descarga de expositores (Horários permitidos de abastecimento e estacionamento técnico),Feira de Grande Porte,Operação,3
TSK-FEI-BIG-021,"Operação do Sistema de Som Perimetral para avisos comunitários, achados e perdidos e alertas de emergência",Feira de Grande Porte,Execução,3
TSK-FEI-BIG-022,"Desmontagem de estruturas pesadas, devolução de equipamentos e triagem de materiais recicláveis",Feira de Grande Porte,Desmontagem,4
TSK-FEI-BIG-023,"Limpeza fina de entrega do espaço público/terreno, recomposição de danos ao solo e vistoria de devolução com a prefeitura",Feira de Grande Porte,Desmontagem,2
TSK-FEI-CULT-006,"Consolidação de clipagem de mídia, relatório de impacto socioeconômico e número de visitantes",Feira Cultural,Planejamento,10
TSK-FEI-CULT-007,"Auditoria financeira, organização de notas fiscais, comprovantes de pagamento e prestação de contas final do edital/lei de incentivo",Feira Cultural,Legalidades,30
TSK-FIN-001,"Montagem da Planilha Financeira Mãe: estimativa de receitas, teto de gastos (Budget), margem de contingência (10-15%) e fluxo de caixa",Todos os Eventos,Planejamento,5
TSK-FIN-002,Elaboração de Matriz Cotação/RFP (Request for Proposal) padronizada para envio simultâneo a fornecedores de cada categoria,Todos os Eventos,Planejamento,5
TSK-FIN-003,"Pesquisa de mercado, benchmarking de preços e levantamento de mínimo 3 orçamentos comparativos por item do evento",Todos os Eventos,Planejamento,10
TSK-FIN-004,Análise de viabilidade financeira e cálculo de Ponto de Equilíbrio (Break-Even Point) para eventos com venda de ingressos/espaço,Todos os Eventos,Planejamento,7
TSK-FIN-005,Abertura de conta bancária dedicada/centro de custo exclusivo do evento para isolamento de movimentações financeiras,Todos os Eventos,Planejamento,3
TSK-FIN-006,"Definição do regime fiscal do evento e enquadramento tributário (Emissão de NF-e, retenções na fonte de ISS, IRRF, PIS/COFINS/CSLL)",Todos os Eventos,Legalidades,7
TSK-FIN-007,Emissão e envio do Cronograma de Pagamentos (Faturamento/Boletos/PIX) para o contratante e/ou patrocinadores,Todos os Eventos,Planejamento,3
TSK-FIN-008,"Gestão de Contas a Pagar: liquidação de parcelas de fornecedores, cachês de atrações e reembolsos conforme contrato",Todos os Eventos,Operação,30
TSK-FIN-009,"Gestão de Contas a Receber: controle de inadimplência de cotas de patrocínio, parcelas de noivos ou vendas de estandes",Todos os Eventos,Operação,30
TSK-FIN-010,Acompanhamento semanal de desvio de orçamento (Budget vs. Actual) e renegociação de itens excedentes,Todos os Eventos,Planejamento,15
TSK-FIN-011,"Auditoria de notas fiscais de fornecedores, validação de impostos retidos e conciliação bancária contínua",Todos os Eventos,Legalidades,15
TSK-FIN-012,"Fechamento do Relatório Financeiro Final, DRE do evento, apuração de lucro/prejuízo e conciliação de fundo fixo/caixinha",Todos os Eventos,Legalidades,10
TSK-SEG-001,"Mapeamento de Riscos do Evento (Matriz de Risco: acidentes, intempéries, cancelamento de atrações, danos ao patrimônio)",Todos os Eventos,Planejamento,5
TSK-SEG-002,"Cotação de Seguro de Responsabilidade Civil Operacional (RC Eventos) cobrindo público, staff, terceiros e danos a imóveis locados",Todos os Eventos,Legalidades,5
TSK-SEG-003,"Cotação e contratação de Seguro de Acidentes Pessoais (APP) para equipe de staff, montadores, brigadistas e voluntários",Todos os Eventos,Legalidades,5
TSK-SEG-004,Apresentação de proposta de Seguro de Cancelamento/Adiamento de Evento (cobertura para NO-SHOW de atração principal ou intempéries graves) ao contratante,Todos os Eventos,Planejamento,5
TSK-SEG-005,"Cotação e contratação de Seguro para Equipamentos Locados (Sons, LEDs, geradores, câmeras e estruturas de alto valor)",Todos os Eventos,Legalidades,5
TSK-SEG-007,"Emissão das Apólices de Seguro, conferência de franquias e envio dos comprovantes aos órgãos públicos e gestores do espaço",Todos os Eventos,Legalidades,3
TSK-SEG-008,Instrução da equipe de coordenação sobre o protocolo de acionamento do seguro em caso de sinistro durante o evento,Todos os Eventos,Operação,1
TSK-MKT-001,"Desenvolvimento da Estratégia de Branding do Evento: posicionamento, tom de voz, manifesto e identidade verbal",Feira / Grandes Eventos,Planejamento,10
TSK-MKT-002,"Criação do Enxoval de Peças Gráficas e Anúncios Digitais (Key Visual, banners digitais, templates e mídia OOH)",Feira / Grandes Eventos,Comunicação,12
TSK-MKT-003,Desenvolvimento e publicação do Landing Page/Site Oficial do Evento com otimização para SEO e Pixel de Rastreamento,Feira / Grandes Eventos,Comunicação,10
TSK-MKT-004,"Configuração da Plataforma de Ticketing/Inscrição (setup de lotes, tipos de ingressos, cupons e pixel de conversão)",Feira / Grandes Eventos,Operação,5
TSK-MKT-005,Planejamento e Gestão do Mídia Kit / Proposta Comercial para atração de Patrocinadores e Apoiadores de Mídia,Feira / Grandes Eventos,Planejamento,10
TSK-MKT-006,"Contratação e Briefing da Assessoria de Imprensa (RP) para elaboração de releases, pautas e coletivas de imprensa",Feira / Grandes Eventos,Comunicação,15
TSK-MKT-007,"Mapeamento, seleção e contratação de Influenciadores Digitais e Embaixadores de Marca do evento",Feira / Grandes Eventos,Comunicação,12
TSK-MKT-008,"Envio de Press Kits exclusivos / Seeding de convites para imprensa, influenciadores e VIPs",Feira / Grandes Eventos,Comunicação,7
TSK-MKT-009,"Estruturação e execução da Campanha de Anúncios Pagos (Meta Ads, Google Ads, TikTok Ads e LinkedIn Ads) - Fase Teaser",Feira / Grandes Eventos,Comunicação,15
TSK-MKT-010,Gestão e otimização diária das Campanhas de Tráfego Pago - Fase de Lotes / Conversão / Retargeting de Ingressos,Feira / Grandes Eventos,Comunicação,30
TSK-MKT-011,"Produção contínua de Conteúdo para Redes Sociais (Vídeos institucionais, bastidores, revelação de atrações e dicas para visitantes)",Feira / Grandes Eventos,Comunicação,30
TSK-MKT-012,"Automação de Marketing e E-mail Marketing: réguas de nutrição, lembretes de lote, confirmação de inscrição e contagem regressiva",Feira / Grandes Eventos,Comunicação,20
TSK-MKT-013,"Estratégia de Marketing de Mídia Exterior / OOH (Out of Home): outdoors, painéis de LED de rua, rádio local e panfletagem estratégica",Feira / Grandes Eventos,Comunicação,15
TSK-MKT-014,"Negociação de Parcerias de Mídia Mútua (Permutas com rádios, jornais, blogs especializados e canais locais)",Feira / Grandes Eventos,Comunicação,10
TSK-MKT-015,Planejamento de Endomarketing e Comunicação Interna (para eventos corporativos/confraternizações) para engajamento dos colaboradores,Festa Corporativa,Comunicação,10
TSK-MKT-016,"Criação da Identidade Visual do Espaço / Live Marketing (cenografia fotográfica, Instagrammable spots, tótens de foto e ativações de marca)",Feira / Grandes Eventos,Planejamento,10
TSK-MKT-017,"Coordenação da Equipe de Social Media / Captação de Conteúdo em Tempo Real no dia do evento (Stories, Reels, fotos e live streaming)",Feira / Grandes Eventos,Execução,3
TSK-MKT-018,"Credenciamento, recepção e acompanhamento de Jornalistas, Equipes de TV, Criadores de Conteúdo e Influenciadores na Press Room",Feira / Grandes Eventos,Execução,3
TSK-MKT-019,Disparo de Release de Cobertura e envio de fotos/vídeos de divulgação para os veículos de comunicação durante e pós-evento,Feira / Grandes Eventos,Execução,2
TSK-MKT-020,"Envio de Pesquisa de Satisfação (NPS - Net Promoter Score) para participantes, expositores e patrocinadores",Feira / Grandes Eventos,Operação,5
TSK-MKT-021,"Consolidação do Relatório Final de Performance de Marketing (ROI de Mídia, métricas de conversão, alcance orgânico e clipagem de imprensa)",Feira / Grandes Eventos,Planejamento,10
TSK-CHK-001,Testes de Carga Elétrica e Simulados de Queda de Energia (Teste de chaveamento automático e tempo de resposta do gerador),Todos os Eventos,Montagem,1
TSK-CHK-002,"Vistoria Prévia de Rotas de Fuga, Acessibilidade PCD, Sinalização Fotoluminescente e Teste de Extintores de Incêndio",Todos os Eventos,Montagem,1
